caldt,vwretd,ewretd
20000103,-0.009385,-0.020912
20000104,-0.038436,-0.026501
20000105,0.000861,0.004636
20000106,-0.002834,0.011314
20000107,0.032151,0.022917
20000110,0.011337,0.004377
20000111,-0.013739,-0.009128
20000112,-0.004260,-0.002580
20000113,0.012882,0.013165
20000114,0.010648,0.003367
20000118,-0.006457,-0.008192
20000119,0.001444,0.000371
20000120,-0.008704,-0.013070
20000121,-0.002922,-0.005046
20000124,-0.027213,-0.021951
20000125,0.006565,-0.004718
20000126,-0.005049,0.003820
20000127,-0.003727,-0.001365
20000128,-0.026639,-0.023132
20000131,0.024592,0.015712
20000201,0.011100,0.006355
20000202,-0.000557,0.000107
20000203,0.012120,0.009872
20000204,-0.000495,-0.003387
20000207,0.000628,-0.006228
20000208,0.011379,0.003778
20000209,-0.020372,-0.017627
20000210,0.003728,-0.005881
20000211,-0.020606,-0.014771
20000214,0.001833,0.001594
20000215,0.009353,0.012560
20000216,-0.010352,-0.006707
20000217,-0.000426,0.000111
20000218,-0.030003,-0.024568
20000222,0.004272,0.006557
20000223,0.007725,-0.006148
20000224,-0.005720,-0.014445
20000225,-0.014728,-0.011887
20000228,0.010586,0.011486
20000229,0.014414,0.009262
20000301,0.009355,0.006992
20000302,0.001277,-0.007416
20000303,0.020696,0.018709
20000306,-0.012653,-0.013967
20000307,-0.026713,-0.023130
20000308,0.008669,0.005920
20000309,0.024992,0.018105
20000310,-0.004284,-0.003789
20000313,-0.007836,-0.001484
20000314,-0.018024,-0.011992
20000315,0.024295,0.041859
20000316,0.047306,0.063069
20000317,0.005001,-0.010024
20000320,-0.005335,-0.006947
20000321,0.024769,0.018239
20000322,0.005092,-0.002636
20000323,0.018142,0.013015
20000324,0.000255,-0.001009
20000327,-0.002333,-0.006459
20000328,-0.010872,-0.004723
20000329,0.001114,0.004866
20000330,-0.013642,0.004813
20000331,0.008020,0.010919
20000403,0.002777,0.006587
20000404,-0.006242,-0.005769
20000405,-0.004800,0.002530
20000406,0.008801,0.008426
20000407,0.010142,-0.001245
20000410,-0.007949,0.000904
20000411,-0.002903,0.007227
20000412,-0.021677,0.000705
20000413,-0.017101,-0.008942
20000414,-0.059488,-0.054253
20000417,0.032657,0.014180
20000418,0.028768,0.018495
20000419,-0.009618,-0.001620
20000420,0.004311,0.008203
20000424,-0.002562,0.004872
20000425,0.034494,0.032202
20000426,-0.012057,-0.010254
20000427,0.002975,-0.004486
20000428,-0.008434,-0.003394
20000501,0.010816,0.012798
20000502,-0.015347,-0.008360
20000503,-0.020914,-0.020497
20000504,-0.004425,0.001838
20000505,0.015734,0.009737
20000508,-0.005776,0.001113
20000509,-0.008550,-0.004473
20000510,-0.021156,-0.011218
20000511,0.019714,0.023012
20000512,0.008338,0.005722
20000515,0.021933,0.018275
20000516,0.009986,0.007834
20000517,-0.012344,-0.010100
20000518,-0.007533,0.000685
20000519,-0.021760,-0.018538
20000522,-0.004170,-0.000124
20000523,-0.020060,-0.007552
20000524,0.019808,0.012306
20000525,-0.013383,-0.013706
20000526,-0.001896,-0.003191
20000530,0.032321,0.023294
20000531,-0.001540,-0.000186
20000601,0.020402,0.016773
20000602,0.019585,0.015787
20000605,-0.006689,-0.010010
20000606,-0.007085,-0.006681
20000607,0.010401,0.001592
20000608,-0.007088,-0.006931
20000609,-0.003274,0.001113
20000612,-0.007715,-0.007066
20000613,0.016444,0.008157
20000614,0.000863,0.002192
20000615,0.005818,-0.003207
20000616,-0.009551,-0.009794
20000619,0.015041,0.003592
20000620,-0.006656,-0.010729
