Date,USD_by_INR,GBP_by_INR,EUR_by_INR
20061204,44.59001102,88.24001003,59.39995487
20061205,45.09656173,89.27064243,60.17405418
20061206,44.69418247,87.95234139,59.38214912
20061207,44.65659514,87.93950129,59.4350158
20061208,44.65538381,87.60387718,59.33953968
20061211,44.81484465,87.44176837,59.10735792
20061212,44.80648556,88.0783908,59.39681492
20061213,44.78156561,88.40487165,59.45790905
20061214,44.73314344,87.98676757,59.06676222
20061215,44.78357347,87.72726406,58.74785427
20061218,44.81849267,87.50644736,58.74431719
20061219,44.85168053,88.03187693,59.07064428
20061220,44.81224364,88.3935434,59.22054753
20061221,44.70800106,87.8374507,58.97091403
20061222,44.52032493,87.57468876,58.78575129
20061227,44.38873873,87.18181743,58.46538218
20061228,44.23121463,86.92598367,58.31988549
20061229,44.34702246,87.08831318,58.45926475
20070102,44.24818428,87.29400648,58.77186571
20070103,44.31453395,87.01293093,58.68700685
20070104,44.24590389,86.15955281,58.04253099
20070105,44.31242689,86.04210293,58.03221859
20070108,44.58801217,86.26565438,58.04502008
20070109,44.38556863,86.31869914,57.83478989
20070110,44.53966815,86.42522004,57.90183999
20070111,44.64328653,87.22430641,58.01866998
20070112,44.42222417,86.67255962,57.32675891
20070115,44.33627578,87.24888708,57.4288539
20070116,44.287014,87.13351284,57.41823965
20070117,44.26856349,87.11189867,57.19935579
20070118,44.2383213,87.18651146,57.21784349
20070119,44.22982495,87.41261607,57.36622841
20070122,44.21034046,87.44554545,57.24360491
20070123,44.31605688,88.31215192,57.84180087
20070124,44.35335064,87.57449614,57.73509675
20070125,44.24458134,87.31075407,57.4739394
20070126,44.1794901,86.6979559,57.04888693
20070129,44.28287403,86.77848362,57.27103409
20070130,44.10738235,86.76260581,57.26922894
20070131,44.2461694,86.52825881,57.36971234
20070201,44.10105517,86.93949191,57.47289543
20070202,44.17121217,87.07121446,57.56432402
20070205,44.10396177,86.33041062,57.05730593
20070206,44.11323861,86.98976279,57.20176967
20070207,44.10367922,87.09305637,57.33063596
20070208,44.07260944,86.44153827,57.30789414
20070209,44.03758805,85.91569839,57.33288236
20070212,44.05425111,85.85556996,57.12968923
20070213,44.10961565,85.84682397,57.49288139
20070214,43.98660294,86.08537943,57.59671032
20070215,44.05673088,86.34645698,57.93107231
20070216,43.95598303,85.78172964,57.71940402
20070219,44.05469998,85.80461889,57.90635486
20070220,44.20494307,86.41287855,58.16135766
20070221,44.13382122,86.36363495,58.06777995
20070222,44.12819239,86.18611683,57.88811487
20070223,44.10405294,86.67128554,57.98005492
20070226,44.01691728,86.49034347,57.98005492
20070227,44.15250517,86.81690558,58.46800867
20070228,44.10974089,86.6146864,58.32749117
20070301,44.14323634,86.77231588,58.43364171
20070302,44.1978875,86.06997915,58.23170416
20070305,44.48185591,85.415008,58.24965432
20070306,44.25649026,85.41194219,58.02983881
20070307,44.40954878,85.7407846,58.38611024
20070308,44.44903375,85.90286532,58.51365577
20070309,44.19855679,85.53870186,58.19719481
20070312,44.18047299,85.30965082,58.17780454
20070313,44.1510634,85.54178072,58.41306808
20070314,44.13419394,85.00269444,58.23613679
20070315,44.1484644,85.63238971,58.44498103
20070316,44.07706601,85.95130635,58.7872305
20070319,44.00874555,85.79551677,58.59919958
20070320,43.58953391,85.45257624,58.01046459
20070321,43.35524208,84.99912803,57.68564179
20070322,43.75475683,86.20111282,58.47122283
20070323,43.62703607,85.88991989,58.19574166
20070326,43.42709334,85.28097805,57.65953237
20070327,43.08491291,84.79978607,57.55883336
20070328,43.09356957,84.76076318,57.57471162
20070329,43.84460672,86.2892208,58.59568156
20070330,43.60825994,85.54256523,58.13141331
20070402,43.12473955,85.36358744,57.69405276
20070403,42.88073604,84.82979009,57.3332785
20070404,42.99684044,84.95216072,57.46269234
20070405,42.83666524,84.38842556,57.33866886
20070410,42.77675997,84.52977594,57.4854111
20070411,42.72368885,84.56104701,57.37988032
20070412,42.71523358,84.61620654,57.57802406
20070413,42.50617631,84.58363631,57.57277109
20070416,41.92336486,83.57782034,56.85891047
20070417,41.87454092,83.99889392,56.78850079
20070418,41.93599918,84.17156253,56.98937732
20070419,41.99738129,84.19515402,57.17368162
20070420,41.66263617,83.55477057,56.7388222
20070423,41.54004228,83.16804591,56.36813166
20070424,40.81587183,81.71218964,55.48759599
20070425,40.62662568,81.53050518,55.50277525
20070426,40.97724935,81.77672718,55.76440394
20070427,41.15089548,82.39508114,56.19430222
20070430,41.05888543,81.92782976,55.912486
20070502,41.06005469,81.89976796,55.84421241
20070503,40.93129593,81.70929838,55.77151521
20070504,40.70951418,80.956137,55.257437
20070507,40.94100361,81.80058554,55.79293827
20070508,40.71824498,81.25308735,55.25706193
20070509,40.75562991,81.24346254,55.21397011
20070510,41.27988068,82.13718679,55.89114818
20070511,41.13753277,81.53398231,55.52959369
20070514,40.73288114,80.74762468,55.24022996
20070515,40.74613765,80.64940334,55.21334633
20070516,40.6591663,80.6912623,55.24200401
20070517,40.62956634,80.40539241,54.96591712
20070518,40.42294476,79.75983038,54.52859167
20070521,40.54481727,79.95054173,54.55906953
20070522,40.34597165,79.72271961,54.33187599
20070523,40.35253928,80.22559099,54.48612463
20070524,40.58450463,80.75648905,54.62872406
20070525,40.35884542,80.1708829,54.29669773
20070528,40.57779773,80.55531723,54.64000321
20070529,40.40770543,80.40107961,54.63745896
20070530,40.76468934,80.6125845,54.75701371
20070531,40.43078384,80.08406706,54.44204299
20070601,40.3767649,79.97007825,54.30059885
20070604,40.2903877,80.22574447,54.36994249
20070605,40.29735811,80.49564727,54.5810221
20070606,40.64938748,81.08483287,54.98052576
20070607,40.57596821,80.5976477,54.70658297
20070608,40.80704284,80.34626519,54.52390732
20070611,40.646019,80.11829961,54.33316667
20070612,40.53451144,80.12212886,54.1435372
20070613,40.82212987,80.51861577,54.29073273
20070614,40.68849072,80.17346616,54.1822365
20070615,40.77691687,80.41999114,54.34080243
20070618,40.58038571,80.53169864,54.44445988
20070619,40.66612469,80.89318553,54.55542113
20070620,40.6347413,81.08968239,54.61093335
20070621,40.65532891,81.14220247,54.51652127
20070622,40.66226426,81.307661,54.70490319
20070625,40.83969266,81.72931244,55.02536054
20070626,40.91408982,81.9146837,55.12150457
20070627,40.96427939,81.90545315,55.09891719
20070628,40.75835115,81.76678537,54.94024294
20070629,40.6696174,81.59441572,54.97532192
20070702,40.54238258,81.639188,55.1401457
20070703,40.48070791,81.65945587,55.10893775
20070704,40.47658097,81.72292499,55.17219404
20070705,40.45880276,81.78871956,55.2370529
20070706,40.3777007,81.27124245,54.94850048
20070709,40.38189677,81.43516406,55.05525876
20070710,40.37071827,81.55496547,55.22185558
20070711,40.35444696,82.08955535,55.55100873
20070712,40.44916321,82.32744869,55.82309723
20070713,40.35878631,82.15014426,55.67413065
20070716,40.38267527,82.36289012,55.70304405
