,DATE,ARS,AUD,BRL,CAD,CHF,CNY,CZK,DKK,EUR,GBP,HKD,HUF,JPY,KRW,MXN,NOK,NZD,PLN,RUB,SAR,SEK,SGD,TRY,ZAR,days
1,1/3/2000,NA,NA,NA,NA,NA,8.2795,NA,7.3257,1.01639998,NA,NA,NA,101.5699997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
2,1/4/2000,NA,NA,NA,NA,NA,8.2798,NA,7.2137,1.029899955,NA,NA,NA,103.0599976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
3,1/5/2000,NA,NA,NA,NA,NA,8.2799,NA,7.2003,1.032199979,NA,NA,NA,103.7099991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
4,1/6/2000,NA,NA,NA,NA,NA,8.2798,NA,7.2194,1.032400012,NA,NA,NA,105.1900024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
5,1/7/2000,NA,NA,NA,NA,NA,8.2797,NA,7.2297,1.029399991,NA,NA,NA,105.1699982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
6,1/10/2000,NA,NA,NA,NA,NA,8.2794,NA,7.2623,1.023800016,NA,NA,NA,105.1900024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
7,1/11/2000,NA,NA,NA,NA,NA,8.2794,NA,7.2049,1.031599999,NA,NA,NA,105.9899979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
8,1/12/2000,NA,NA,NA,NA,NA,8.2795,NA,7.2285,1.029600024,NA,NA,NA,105.9800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
9,1/13/2000,NA,NA,NA,NA,NA,8.2796,NA,7.2581,1.027400017,NA,NA,NA,106.0899963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
10,1/14/2000,NA,NA,NA,NA,NA,8.2798,NA,7.3371,1.013200045,NA,NA,NA,106.0100021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
11,1/17/2000,NA,NA,NA,NA,NA,8.2797,NA,7.3635,1.008399963,NA,NA,NA,104.9100037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
12,1/18/2000,NA,NA,NA,NA,NA,8.2793,NA,7.3437,1.012400031,NA,NA,NA,105.3799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
13,1/19/2000,NA,NA,NA,NA,NA,8.2793,NA,7.3503,1.010599971,NA,NA,NA,105.4199982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
14,1/20/2000,NA,NA,NA,NA,NA,8.2797,NA,7.3215,1.013900042,NA,NA,NA,105.3799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
15,1/21/2000,NA,NA,NA,NA,NA,8.2794,NA,7.3722,1.008299947,NA,NA,NA,104.8099976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
16,1/24/2000,NA,NA,NA,NA,NA,8.2795,NA,7.4207,1.002300024,NA,NA,NA,105.5800018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
17,1/25/2000,NA,NA,NA,NA,NA,8.2789,NA,7.4347,1.004299998,NA,NA,NA,105.8799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
18,1/26/2000,NA,NA,NA,NA,NA,8.2786,NA,7.4301,1.001600027,NA,NA,NA,105.7799988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
19,1/27/2000,NA,NA,NA,NA,NA,8.2782,NA,7.5294,0.988499999,NA,NA,NA,104.9199982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
20,1/28/2000,NA,NA,NA,NA,NA,8.2783,NA,7.6153,0.976100028,NA,NA,NA,107.0800018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
21,1/31/2000,NA,NA,NA,NA,NA,8.2781,NA,7.6375,0.969900012,NA,NA,NA,107.2799988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
22,2/1/2000,NA,NA,NA,NA,NA,8.2777,NA,7.6539,0.971099973,NA,NA,NA,107.6800003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
23,2/2/2000,NA,NA,NA,NA,NA,8.2774,NA,7.6191,0.975199997,NA,NA,NA,108.4800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
24,2/3/2000,NA,NA,NA,NA,NA,8.2773,NA,7.5154,0.988799989,NA,NA,NA,107.6800003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
25,2/4/2000,NA,NA,NA,NA,NA,8.2788,NA,7.5764,0.977800012,NA,NA,NA,107.3799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
26,2/7/2000,NA,NA,NA,NA,NA,8.2788,NA,7.61,0.977199972,NA,NA,NA,108.7799988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
27,2/8/2000,NA,NA,NA,NA,NA,8.2788,NA,7.5469,0.986199975,NA,NA,NA,109.4800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
28,2/9/2000,NA,NA,NA,NA,NA,8.2788,NA,7.4963,0.9921,NA,NA,NA,109.0800018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
29,2/10/2000,NA,NA,NA,NA,NA,8.2788,NA,7.5541,0.988200009,NA,NA,NA,108.8799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
30,2/11/2000,NA,NA,NA,NA,NA,8.2788,NA,7.557,0.985700011,NA,NA,NA,108.9800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
31,2/14/2000,NA,NA,NA,NA,NA,8.2781,NA,7.5965,0.978399992,NA,NA,NA,108.6800003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
32,2/15/2000,NA,NA,NA,NA,NA,8.2779,NA,7.59,0.98360002,NA,NA,NA,108.7799988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
33,2/16/2000,NA,NA,NA,NA,NA,8.2777,NA,7.545,0.984600008,NA,NA,NA,109.3799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
34,2/17/2000,NA,NA,NA,NA,NA,8.2777,NA,7.5345,0.985400021,NA,NA,NA,110.4800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
35,2/18/2000,NA,NA,NA,NA,NA,8.2772,NA,7.5594,0.984600008,NA,NA,NA,110.8799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
36,2/21/2000,NA,NA,NA,NA,NA,8.2772,NA,7.54,0.986299992,NA,NA,NA,111.1200028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
37,2/22/2000,NA,NA,NA,NA,NA,8.2775,NA,7.4172,1.006100059,NA,NA,NA,110.9800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
38,2/23/2000,NA,NA,NA,NA,NA,8.2773,NA,7.4198,1.002200007,NA,NA,NA,111.1800003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
39,2/24/2000,NA,NA,NA,NA,NA,8.278,NA,7.501,0.993799985,NA,NA,NA,110.9800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
40,2/25/2000,NA,NA,NA,NA,NA,8.278,NA,7.6418,0.97420001,NA,NA,NA,110.3799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
41,2/28/2000,NA,NA,NA,NA,NA,8.2786,NA,7.6775,0.968599975,NA,NA,NA,109.3799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
42,2/29/2000,NA,NA,NA,NA,NA,8.2786,NA,7.7215,0.964399993,NA,NA,NA,109.8799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
43,3/1/2000,NA,NA,NA,NA,NA,8.2786,NA,7.6494,0.970600009,NA,NA,NA,107.0800018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
44,3/2/2000,NA,NA,NA,NA,NA,8.2786,NA,7.7166,0.96420002,NA,NA,NA,107.7799988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
45,3/3/2000,NA,NA,NA,NA,NA,8.2787,NA,7.7698,0.961899996,NA,NA,NA,107.6800003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
46,3/6/2000,NA,NA,NA,NA,NA,8.2789,NA,7.7588,0.960699976,NA,NA,NA,107.5800018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
47,3/7/2000,NA,NA,NA,NA,NA,8.2785,NA,7.7676,0.955600023,NA,NA,NA,106.1800003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
48,3/8/2000,NA,NA,NA,NA,NA,8.2784,NA,7.747,0.957300007,NA,NA,NA,106.8799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
49,3/9/2000,NA,NA,NA,NA,NA,8.2786,NA,7.71,0.968299985,NA,NA,NA,106.4800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
50,3/10/2000,NA,NA,NA,NA,NA,8.2787,NA,7.7312,0.96509999,NA,NA,NA,106.3199997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
51,3/13/2000,NA,NA,NA,NA,NA,8.2785,NA,7.7311,0.963199973,NA,NA,NA,105.4800034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
52,3/14/2000,NA,NA,NA,NA,NA,8.2781,NA,7.694,0.964399993,NA,NA,NA,104.8799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
53,3/15/2000,NA,NA,NA,NA,NA,8.278,NA,7.6954,0.967800021,NA,NA,NA,105.5500031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wednesday
54,3/16/2000,NA,NA,NA,NA,NA,8.2778,NA,7.6648,0.968800008,NA,NA,NA,105.5800018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday
55,3/17/2000,NA,NA,NA,NA,NA,8.2777,NA,7.6579,0.970799983,NA,NA,NA,106.0800018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Friday
56,3/20/2000,NA,NA,NA,NA,NA,8.2785,NA,7.6525,0.971800029,NA,NA,NA,106.3799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monday
57,3/21/2000,NA,NA,NA,NA,NA,8.2786,NA,7.716,0.967100024,NA,NA,NA,106.8799973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tuesday
