C1_1,DATE,ARS,AUD,BRL,CAD,CHF,CNY,CZK,DKK,EUR,GBP,HKD,HUF,JPY,KRW,MXN,NOK,NZD,PLN,RUB,SAR,SEK,SGD,TRY,ZAR,days
1306,3/1/2005,0.336700337,0.77755,0.373957593,0.829737803,0.882417825,0.12082402,0.044812906,0.183271021,1.3633,1.9234,0.128564449,0.005555556,0.009695089,0.000963298,0.089182199,0.165322047,0.71705,0.334649622,0.035982872,0.266624007,0.15121044,0.610742969,0.743301,0.176506928,Monday
1307,4/1/2005,0.337268128,0.7686,0.370576246,0.817193757,0.857265324,0.12082402,0.043624307,0.178815704,1.3293,1.88345,0.128493415,0.00541976,0.009581297,0.000962742,0.088296322,0.160654184,0.70555,0.32404407,0.036039932,0.266645335,0.146883859,0.610873549,0.735294118,0.172862341,Tuesday
1308,5/1/2005,0.336417157,0.7666,0.369562807,0.816559833,0.856347677,0.12082402,0.043664309,0.178488559,1.3275,1.888,0.128394428,0.005396508,0.009630664,0.000955749,0.08822232,0.160532969,0.703,0.322331099,0.036039932,0.266652445,0.147048011,0.607053967,0.727272727,0.16934801,Wednesday
1309,6/1/2005,0.336134454,0.7611,0.367417423,0.810339938,0.850231688,0.12082402,0.043421624,0.177028749,1.3172,1.87545,0.128364761,0.005314061,0.009517465,0.000944465,0.08760403,0.159327003,0.69705,0.320338277,0.036039932,0.266652445,0.145446083,0.605180344,0.716845878,0.163666121,Thursday
1310,7/1/2005,0.337268128,0.75775,0.368731563,0.811391943,0.842318059,0.12082402,0.042957172,0.175364759,1.3049,1.86785,0.128331815,0.005250033,0.009537434,0.000951384,0.087958484,0.158473582,0.6968,0.318755578,0.036039932,0.266652445,0.144231463,0.607312037,0.718390805,0.166527893,Friday
1311,10/1/2005,0.336700337,0.7589,0.369918248,0.817962456,0.84684761,0.12082402,0.04325166,0.176006759,1.3096,1.87475,0.128292301,0.005285971,0.009572584,0.000949037,0.088656412,0.15910013,0.69415,0.321336761,0.035714286,0.266645335,0.144753413,0.606869766,0.721735051,0.16697836,Monday
1312,11/1/2005,0.336983993,0.7629,0.367471429,0.822639026,0.849617672,0.12082402,0.043415968,0.176759642,1.31525,1.8769,0.128282427,0.005334756,0.009626029,0.000956846,0.089166295,0.160451832,0.69915,0.32382371,0.035767938,0.266652445,0.145866153,0.609013398,0.726216412,0.167504188,Tuesday
1313,12/1/2005,0.338409475,0.7686,0.370617449,0.836155358,0.859586539,0.12082402,0.043719669,0.178580995,1.3286,1.89305,0.128292301,0.005375477,0.009767056,0.000959509,0.089517501,0.162020722,0.70805,0.326637269,0.035860288,0.266645335,0.146780373,0.609942056,0.736377025,0.167140231,Wednesday
1314,1/13/2005,0.339558574,0.76555,0.370631185,0.832119825,0.853133131,0.12082402,0.043353854,0.177429228,1.32025,1.8806,0.128349933,0.00534788,0.009765148,0.000964599,0.089405454,0.161300729,0.70525,0.325203252,0.035861574,0.266652445,0.145884241,0.614137444,0.738961759,0.165782493,Thursday
1315,1/14/2005,0.340136054,0.75965,0.370356653,0.822064203,0.845415733,0.12082402,0.043038519,0.176003661,1.30935,1.8685,0.128265972,0.005300681,0.009749915,0.000958773,0.088999644,0.159810784,0.69995,0.321078825,0.035801232,0.266652445,0.14461316,0.609310261,0.739180249,0.165672631,Friday
1316,1/17/2005,0.340136054,0.7586,0.370411527,0.82345191,0.84666836,0.12082402,0.043125755,0.175852003,1.3083,1.8594,0.128259392,0.005319149,0.009798638,0.000965531,0.089059091,0.159660243,0.6976,0.144533734,0.035801232,0.266652445,0.165458817,0.609310261,0.739180249,0.165672631,Monday
1317,1/18/2005,0.340715503,0.75595,0.3679582,0.817828665,0.843063693,0.12082402,0.042855918,0.175033256,1.30225,1.86705,0.128226499,0.005273705,0.009745164,0.000965531,0.088880988,0.159522708,0.69675,0.31809651,0.035559349,0.266645335,0.144090143,0.610742969,0.74649149,0.164934851,Tuesday
1318,1/19/2005,0.340136054,0.76015,0.369044544,0.814796708,0.845558703,0.12082402,0.043021855,0.175174298,1.30345,1.87655,0.128236365,0.005287648,0.009752767,0.000970026,0.08907099,0.159527798,0.7014,0.319264415,0.035525241,0.266652445,0.144283488,0.611901484,0.74649149,0.166512642,Wednesday
1319,1/20/2005,0.339558574,0.7606,0.368093643,0.81073412,0.838890986,0.12082402,0.042693991,0.174043198,1.29505,1.87055,0.128242943,0.005244801,0.00969368,0.000967867,0.088995684,0.157994107,0.70485,0.315826043,0.035500018,0.266645335,0.143289057,0.609997865,0.74649149,0.163853842,Thursday
1320,1/21/2005,0.339270568,0.76705,0.372217673,0.815228468,0.839454355,0.12082402,0.042898203,0.174657235,1.29995,1.86895,0.128224855,0.005272732,0.009686637,0.000963298,0.088821779,0.158487396,0.71195,0.319284802,0.035571998,0.266645335,0.143738052,0.609570253,0.74649149,0.165975104,Friday
1321,1/24/2005,0.339270568,0.7691,0.373190028,0.817895555,0.844059928,0.12082402,0.043248854,0.175269477,1.30435,1.876,0.128233076,0.005304477,0.009731887,0.000968804,0.089007566,0.159097598,0.71465,0.320872774,0.035707909,0.266645335,0.14396257,0.612238651,0.747104968,0.168520391,Monday
1322,1/25/2005,0.341588386,0.7645,0.372981239,0.806744383,0.83654007,0.12082402,0.043026483,0.174094708,1.29555,1.8647,0.128219923,0.005268565,0.009607532,0.00096965,0.088668204,0.157804622,0.7103,0.317954914,0.035776895,0.266652445,0.1426961,0.61173304,0.751766652,0.168166148,Tuesday
1323,1/26/2005,0.341588386,0.77425,0.375403559,0.813802083,0.844665935,0.12082402,0.043472591,0.175648142,1.30715,1.8815,0.128226499,0.005331911,0.009718645,0.000969368,0.088817835,0.158304245,0.71805,0.321802092,0.03564427,0.266645335,0.144029958,0.610873549,0.755001888,0.167608065,Wednesday
1324,1/27/2005,0.341880342,0.7754,0.375234522,0.808374763,0.843632682,0.12082402,0.04320961,0.175232621,1.304,1.8864,0.128229788,0.00531618,0.009687106,0.000972101,0.088668204,0.15794794,0.7149,0.320872774,0.035634109,0.266645335,0.143432924,0.612257393,0.747831289,0.168455098,Thursday
1325,1/28/2005,0.342172797,0.77425,0.378071834,0.804537592,0.840300828,0.12082402,0.04305427,0.174808366,1.301,1.8829,0.128226499,0.005310251,0.009654839,0.000976467,0.088735081,0.157579578,0.71275,0.321274818,0.035596056,0.266652445,0.142891845,0.61098552,0.750807118,0.168323248,Friday
1326,1/31/2005,0.340425532,0.775,0.383347389,0.805801773,0.841361323,0.12082402,0.043335067,0.17517123,1.3035,1.886,0.128211703,0.005308983,0.00966744,0.000975039,0.089150397,0.157398517,0.71105,0.321285141,0.035660795,0.266645335,0.143132161,0.610444709,0.750356419,0.167686761,Monday
1327,1/2/2005,0.341880342,0.7719,0.383347389,0.805023346,0.836680054,0.12082402,0.043279739,0.174773232,1.3006,1.8797,0.128205128,0.005301384,0.009607071,0.000972952,0.089485459,0.157143755,0.7105,0.143133185,0.035660795,0.266645335,0.165439656,0.610444709,0.750356419,0.167686761,Tuesday
1328,2/2/2005,0.341880342,0.7743,0.382467681,0.806321561,0.838926174,0.12082402,0.043429167,0.175094551,1.30335,1.88475,0.128207594,0.005325664,0.009627419,0.000972952,0.08960975,0.157815829,0.71095,0.32398108,0.035706634,0.266645335,0.143544104,0.610817579,0.755572346,0.165609526,Wednesday
1329,3/2/2005,0.341880342,0.76915,0.384349297,0.804278763,0.830737279,0.12082402,0.043108094,0.174025025,1.2955,1.8793,0.128210059,0.005301103,0.009552467,0.000975419,0.08953353,0.156531267,0.70895,0.325923995,0.035733429,0.266652445,0.142588262,0.61098552,0.757690559,0.162536876,Thursday
1330,4/2/2005,0.342465753,0.77245,0.38281908,0.801057396,0.830357884,0.12082402,0.043216146,0.173867687,1.29435,1.8854,0.128218279,0.005300541,0.009642737,0.000973994,0.089718285,0.156020844,0.71255,0.325817803,0.035720664,0.266645335,0.142553707,0.611097531,0.760716595,0.162871755,Friday
1331,7/2/2005,0.342465753,0.7736,0.38281908,0.797066794,0.822503701,0.12082402,0.042981174,0.172413793,1.2832,1.8655,0.128211703,0.005257624,0.009578544,0.000974469,0.089469446,0.153654676,0.70645,0.323415265,0.035551763,0.266652445,0.141228975,0.610202587,0.761933788,0.161522185,Monday
