"Year","Month","Rate","lagrate","diff","lagdiff"
1953,3,2.36,,,
1953,6,2.75,2.36,0.3900000000000001,
1953,9,2.74,2.75,-0.009999999999999787,0.3900000000000001
1953,12,2.25,2.74,-0.4900000000000002,-0.009999999999999787
1954,3,2,2.25,-0.25,-0.4900000000000002
1954,6,1.56,2,-0.43999999999999995,-0.25
1954,9,1.31,1.56,-0.25,-0.43999999999999995
1954,12,1.31,1.31,0,-0.25
1955,3,1.69,1.31,0.3799999999999999,0
1955,6,2,1.69,0.31000000000000005,0.3799999999999999
1955,9,2.54,2,0.54,0.31000000000000005
1955,12,2.99,2.54,0.4500000000000002,0.54
1956,3,3,2.99,0.009999999999999787,0.4500000000000002
1956,6,3.38,3,0.3799999999999999,0.009999999999999787
1956,9,3.5,3.38,0.1200000000000001,0.3799999999999999
1956,12,3.63,3.5,0.1299999999999999,0.1200000000000001
1957,3,3.63,3.63,0,0.1299999999999999
1957,6,3.79,3.63,0.16000000000000014,0
1957,9,4,3.79,0.20999999999999996,0.16000000000000014
1957,12,3.81,4,-0.18999999999999995,0.20999999999999996
1958,3,2.33,3.81,-1.48,-0.18999999999999995
1958,6,1.54,2.33,-0.79,-1.48
1958,9,2.93,1.54,1.3900000000000001,-0.79
1958,12,3.33,2.93,0.3999999999999999,1.3900000000000001
1959,3,3.35,3.33,0.020000000000000018,0.3999999999999999
1959,6,3.83,3.35,0.48,0.020000000000000018
1959,9,4.63,3.83,0.7999999999999998,0.48
1959,12,4.88,4.63,0.25,0.7999999999999998
1960,3,4.49,4.88,-0.3899999999999997,0.25
1960,6,3.81,4.49,-0.6800000000000002,-0.3899999999999997
1960,9,3.39,3.81,-0.41999999999999993,-0.6800000000000002
1960,12,3.23,3.39,-0.16000000000000014,-0.41999999999999993
1961,3,3.03,3.23,-0.20000000000000018,-0.16000000000000014
1961,6,2.91,3.03,-0.11999999999999966,-0.20000000000000018
1961,9,3.05,2.91,0.13999999999999968,-0.11999999999999966
1961,12,3.19,3.05,0.14000000000000012,0.13999999999999968
1962,3,3.25,3.19,0.06000000000000005,0.14000000000000012
1962,6,3.25,3.25,0,0.06000000000000005
1962,9,3.34,3.25,0.08999999999999986,0
1962,12,3.29,3.34,-0.04999999999999982,0.08999999999999986
1963,3,3.34,3.29,0.04999999999999982,-0.04999999999999982
1963,6,3.38,3.34,0.040000000000000036,0.04999999999999982
1963,9,3.88,3.38,0.5,0.040000000000000036
1963,12,3.96,3.88,0.08000000000000007,0.5
1964,3,4,3.96,0.040000000000000036,0.08000000000000007
1964,6,4,4,0,0.040000000000000036
1964,9,3.89,4,-0.10999999999999988,0
1964,12,4.17,3.89,0.2799999999999998,-0.10999999999999988
1965,3,4.38,4.17,0.20999999999999996,0.2799999999999998
1965,6,4.38,4.38,0,0.20999999999999996
1965,9,4.38,4.38,0,0
1965,12,4.65,4.38,0.27000000000000046,0
1966,3,5.21,4.65,0.5599999999999996,0.27000000000000046
1966,6,5.51,5.21,0.2999999999999998,0.5599999999999996
1966,9,5.89,5.51,0.3799999999999999,0.2999999999999998
1966,12,6,5.89,0.11000000000000032,0.3799999999999999
1967,3,5.24,6,-0.7599999999999998,0.11000000000000032
1967,6,4.65,5.24,-0.5899999999999999,-0.7599999999999998
1967,9,5,4.65,0.34999999999999964,-0.5899999999999999
1967,12,5.56,5,0.5599999999999996,0.34999999999999964
1968,3,5.64,5.56,0.08000000000000007,0.5599999999999996
1968,6,6.25,5.64,0.6100000000000003,0.08000000000000007
1968,9,5.82,6.25,-0.4299999999999997,0.6100000000000003
1968,12,6.17,5.82,0.34999999999999964,-0.4299999999999997
1969,3,6.82,6.17,0.6500000000000004,0.34999999999999964
1969,6,8.23,6.82,1.4100000000000001,0.6500000000000004
1969,9,8.48,8.23,0.25,1.4100000000000001
1969,12,8.84,8.48,0.35999999999999943,0.25
1970,3,8.33,8.84,-0.5099999999999998,0.35999999999999943
1970,6,8.21,8.33,-0.11999999999999922,-0.5099999999999998
1970,9,7.32,8.21,-0.8900000000000006,-0.11999999999999922
1970,12,5.73,7.32,-1.5899999999999999,-0.8900000000000006
